Taxa	Race	FT	Biomass_BLUE	PH4wap_BLUE	PH6wap_BLUE	PH8wap_BLUE	PH10wap_BLUE	PH12wap_BLUE	PH14wap_BLUE	PH16wap_BLUE	Starch_BLUE	SLA_BLUE
NSL51959	Caudatum	0	12.32956897	31.57674003	60.03963391	133.4786884	225.6713519	268.76721	309.6512493	347.2113736	24.66110396	233.144642
NSL51963	Caudatum	0	11.33884212	28.21426031	60.43713992	149.3680099	240.6657677	291.5081044	327.2033797	373.4549408	24.66812943	237.9889969
NSL51969	Caudatum	0	12.0816133	29.38933641	58.65984043	131.6935763	208.2486829	265.2867631	320.7410753	364.2673588	24.75588307	253.0910845
NSL51981	Guinea	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	NA	227.3495091
NSL52282	Kafir	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	NA	225.8969067
NSL54114	Guinea	0	10.76295616	25.317586	51.56063366	128.3506517	239.8005838	259.9591272	306.3345144	356.6559982	24.61891538	223.2663427
NSL54141	Guinea	1	11.88083216	30.60012462	64.65186094	156.4218543	247.9904254	312.1881656	364.0311121	389.4252737	24.26250661	223.404408
NSL54162	Guinea	0	11.12985575	27.53486422	58.91977097	145.8525618	234.782987	296.7037914	321.8447639	352.5460475	23.88956123	241.2597331
NSL54165	Guinea	0	7.089984084	28.57432449	59.08823381	132.3955296	212.0552345	283.2350911	318.1215121	365.579526	25.25022941	224.7401078
NSL54175	Guinea	0	10.08836154	28.02859363	62.47262029	151.9839037	246.0990376	285.2336726	339.442297	371.5839789	26.37871107	235.9325021
NSL54184	Guinea	0	10.57939135	26.64386346	57.80912522	144.2753943	209.06611	241.4669932	275.7507496	303.3739753	24.2492758	213.0570492
NSL54219	NA	0	11.75754002	29.62547508	64.02904822	134.2724373	218.2522233	249.7882775	291.6034051	361.7087505	24.64666123	251.8650684
NSL54221	Guinea	0	7.697576884	28.04546891	53.89349493	95.57075805	115.346685	158.6590054	157.5009644	184.492168	25.96032871	233.8065464
NSL54222	Guinea	0	11.58302386	25.41702224	60.5699231	147.972588	235.2303031	288.7014606	364.4160895	358.5232355	24.07552595	233.1780762
NSL54231	NA	0	13.24024088	27.30134988	58.48877127	150.8017678	250.8434322	299.4336364	331.2915861	371.8939175	25.47429864	230.311842
NSL54236	Guinea	0	12.18428876	27.15642022	56.52871022	157.2566257	211.7908106	284.873924	311.1071956	394.6767911	24.24278447	256.652833
NSL54297	Caudatum	0	11.3318519	29.54716839	59.69406038	101.6042703	128.4715715	181.5570755	213.3197712	259.5424227	24.75953207	263.6640141
NSL54318	Guinea	0	12.43393396	28.55984876	57.70411545	140.6884808	221.5889411	274.9926586	326.1681497	368.1075129	23.89340118	228.4771703
NSL54577	Durra	0	9.510998717	25.39735691	56.502456	123.620187	203.99615	271.2130133	317.5773769	335.746326	23.73738099	232.1259441
NSL54591	Durra	0	8.773164283	29.65495828	68.00588429	179.2985869	281.0902306	308.8176485	370.3023429	408.8154855	24.6740213	200.653423
NSL54779	Durra	1	9.493217654	29.84808203	67.45625131	164.3471221	283.2903417	318.593246	326.5280796	356.6257792	24.43545965	202.0019958
NSL55032	Durra	1	9.08334899	23.76263503	58.30619078	162.7539871	287.5974178	318.0501886	394.3311096	410.214234	24.88256722	211.6003258
NSL55671	Durra	1	11.30360168	31.32639328	71.45840638	189.6571163	304.9722806	346.7657703	393.0131597	413.8899752	25.16340883	213.1119828
NSL55725	Durra	0	6.653470173	27.94955421	53.11952101	129.6164465	203.2178356	268.3598685	304.0998113	303.8255076	25.52234996	214.3654405
NSL55731	Durra	1	10.37643915	29.78232821	60.46486281	147.1013075	215.471349	272.0400653	305.787006	350.3787162	26.64481657	220.0727436
NSL55749	Caudatum	0	10.02844469	30.84769564	58.86372179	134.832061	207.990549	257.4801381	300.9256445	335.9204985	26.22649709	235.7105731
NSL67916	Durra	1	9.412283955	32.31004331	66.88167311	171.7658067	275.2814928	327.7458649	380.3603609	401.5364314	24.45098482	209.9154219
NSL67921	Durra	1	10.00758171	29.44815634	59.86072151	150.8521412	198.4253264	282.5198654	313.9063575	353.5496023	24.8345159	212.8659398
PI147828	Durra	0	9.773775528	30.03141762	58.94489786	147.9036435	264.0530935	309.0338479	339.8545678	381.0271813	24.7619062	205.9460681
PI147838	Durra	1	10.25333982	31.61768559	72.25697003	217.5236438	330.0881716	370.5269757	412.7751603	412.9479025	25.54933111	247.6986017
PI147933	Durra	0	6.609015177	30.71373127	57.36873789	143.3213242	244.2168579	281.1141829	299.6069843	306.6239734	25.49285804	235.0868781
PI147937	Durra	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	NA	264.0856953
PI147938	Durra	0	6.359291746	28.44514966	58.78255551	130.0310465	199.6399295	277.5267683	319.2703765	360.9744205	25.42629597	238.0642143
PI147939	Durra	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	NA	232.5345714
PI148083	Durra	NA	12.00280893	31.2757232	63.56003507	185.1292117	301.826504	363.1377379	382.1491922	416.3748215	26.50896869	220.1035349
PI148084	Durra	1	8.149199447	33.4438105	73.54914812	185.9364063	288.3859161	344.3634613	396.760947	408.3222577	25.75702029	236.6179553
PI148086	Durra	0	6.078754503	30.99536109	70.26249381	184.106576	286.8757389	310.0410747	381.635077	408.3062557	25.54200923	225.6644806
PI148089	Durra	0	8.522823704	32.40502363	73.454305	184.8180132	296.9662141	344.9444391	396.3945456	415.1936417	24.94550015	239.6251132
PI148101	Durra	1	9.202832044	28.81188373	65.441288	182.6053322	282.2850964	350.7218893	359.5189561	392.5003901	24.77887758	235.1256266
PI148114	Durra	1	8.282463166	30.65755597	67.9735199	187.2264795	264.0172582	350.6088543	396.3876851	399.5025081	25.1286375	220.6818453
PI149831	Caudatum	0	10.54077316	29.13750738	63.4724839	133.11112	178.4300448	224.3157278	256.8552133	296.3617473	23.34366854	234.1186999
PI151198	Durra	0	4.951605896	27.56332672	54.77553463	115.3607357	187.8992576	236.3162849	265.7636757	298.6857881	26.6890446	241.9980854
PI152594	Durra	1	9.40383337	26.50194227	55.38363842	144.9259501	238.927223	279.4803806	321.967897	370.4986732	24.88959269	228.8865903
PI152636	Caudatum	0	12.52521408	27.60098363	57.5755856	133.8677978	219.3707615	285.0166373	328.2213644	378.3593967	24.91419972	240.5847742
PI152654	NA	0	9.117510705	25.20035118	58.48903179	146.6663383	242.7510859	275.8632097	322.8237645	365.6793805	25.01262783	242.1389346
PI152702	Caudatum	NA	11.3262535	26.0099916	65.56065196	164.4998889	255.8848574	317.1001284	345.3672244	370.9782474	24.2541286	228.4735913
PI152705	Caudatum	0	10.53951291	27.14355857	63.18668763	150.4753153	260.9258955	300.8535828	339.8345123	377.8448487	24.26976563	239.8990681
PI152730	Caudatum	0	10.23457419	26.47519379	57.94787407	103.8375822	157.8230791	228.2989958	261.8267319	288.446952	24.49467641	235.556746
PI152748	Caudatum	0	12.59493007	31.96669354	62.08035836	134.2763049	221.9699532	279.8290328	332.7712226	375.8933706	24.9527393	260.6563402
PI153824	Caudatum	0	10.89980032	28.75403441	61.6421685	128.6209868	189.177503	238.9216894	302.6639206	327.0670253	24.80874613	256.5747717
PI153844	Caudatum	0	9.058473062	30.92678696	62.1923685	161.9401705	243.3580102	310.9998585	353.269938	387.2681785	24.86145466	226.9925483
PI153852	Caudatum	0	8.857511977	28.28836641	60.1730631	123.2689321	194.8103465	238.951114	276.5419055	340.6202483	24.37284509	259.4446274
PI153860	Caudatum	0	11.4167332	29.10280088	62.92228038	150.83427	241.8190452	288.7699275	338.1523734	352.2900991	26.69403063	251.3105836
PI185458	NA	0	11.70608874	24.78251506	59.92055373	151.7133641	251.9128492	278.7061112	326.3134376	352.3846353	24.49022776	214.4024023
PI221624	Guinea	0	11.96033588	30.02304878	57.74595226	126.9584196	185.7019725	278.9030869	296.0944978	349.1659862	24.88256722	264.9516022
PI221651	Guinea	0	9.603173517	31.64082962	59.6754335	135.4555237	220.5024585	260.522201	311.8746824	357.6102193	24.30714886	252.0379839
PI221662	Durra	0	9.821216907	29.54716839	59.53171803	150.23436	232.0423782	286.7255343	332.8832652	377.4035473	25.10403047	229.4511153
PI248317	Durra	0	11.65878091	26.0779304	52.7295207	148.9848446	251.1936264	308.3027531	353.6055399	396.0290552	25.04986866	227.4194294
PI267542	Guinea	0	11.12537007	30.47472129	64.32308404	142.5781212	245.6335616	317.3676383	360.8566651	385.2111689	24.2451586	240.073857
PI267614	Guinea	0	11.94543211	27.6073948	59.82824598	158.1444816	282.572599	314.6482203	356.4048721	402.7538683	26.52536925	227.0036723
PI267643	Durra	0	6.270496804	28.89880663	55.83417186	92.51593695	151.3509752	192.5290631	208.0543264	240.81329	25.00299848	221.4721402
PI267650	Durra	1	11.14825395	30.0200714	63.57198019	151.3929539	279.4836383	318.2640381	363.6264959	409.7591456	24.78651323	210.2263682
PI267653	Durra	0	7.994962058	30.10135547	63.86670587	139.2601388	206.6671219	245.4424735	282.8441748	337.9728296	25.06498071	232.6131861
PI276770	Durra	1	9.199650122	23.15202379	50.52019963	130.0587289	216.3949448	222.8443728	255.6176154	369.4665277	24.54137735	226.3933406
PI276773	Durra	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	NA	230.5297615
PI276785	Durra	0	9.144325964	28.53728309	61.74337882	144.3672877	199.1473216	258.8435199	294.4126088	330.7649056	24.50759291	238.1379364
PI276787	Durra	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	NA	226.3274064
PI276789	Durra	0	8.488484413	24.22155051	57.44000764	135.1504111	214.1241577	246.1214359	306.5951832	351.9404581	26.99388678	221.341482
PI276790	Durra	1	10.56388909	28.99096789	58.99643557	154.4310642	250.9222094	314.9753388	363.4290938	406.3159122	24.52362608	245.2733853
PI276800	Durra	0	8.712794523	27.30531012	59.25057615	130.5251416	218.5428913	285.8425736	316.369666	376.2197664	25.26765605	229.4968904
PI276801	Caudatum	0	12.5363456	32.44255048	68.78480014	168.102814	268.1994846	314.7997299	362.7593557	399.502585	23.7085681	233.5370365
PI276803	Durra	0	8.574394849	26.20292767	57.81731835	137.7673447	225.0337417	268.5894846	267.327478	341.692426	24.58583964	264.6885722
PI276806	Durra	0	8.34049548	30.64620975	71.13952114	167.4398496	274.5820604	315.729133	361.9107315	384.4457907	25.3008867	223.8553027
PI276816	Durra	0	6.92463979	29.80629746	55.41202742	101.764004	170.4162701	206.6938709	255.4340338	315.6230251	25.29501782	228.3650967
PI276820	Durra	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	NA	221.0560938
PI276823	Durra	0	7.038261623	31.73155396	61.16774549	154.0832573	238.4697336	305.2037693	301.6322092	326.962679	25.03137213	220.906669
PI276830	Durra	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	NA	226.892418
PI282857	Guinea	0	11.94400461	26.21302829	58.53936754	123.1293121	214.8387723	234.8245997	298.3702299	336.5051828	25.20483271	251.7801776
PI285039	Caudatum	0	12.51934846	28.93349641	63.19461423	142.6004673	230.4860235	282.1533735	324.3686148	373.9278227	24.48520576	242.3432449
PI285043	Guinea	0	13.50371345	27.1176937	63.99461415	169.3368783	271.0766236	314.7581291	357.2246872	389.1100485	24.83666169	235.2438955
PI291231	Durra	0	13.10044483	28.17914197	58.39964042	150.0208576	229.2416962	292.5152148	347.1914327	385.8795636	24.51462453	203.6442924
PI291239	Durra	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	NA	234.4500133
PI291240	Durra	0	11.85594794	31.73662655	66.42291778	178.3851144	283.1823105	330.7608687	378.0269711	420.4259551	25.01262783	230.0542285
PI297117	Caudatum	0	7.896489529	29.49633148	61.99921758	113.003721	181.9217623	221.032406	256.8703101	303.6408014	27.02399821	256.4420257
PI329597	Durra	0	7.825420984	31.804334	84.91463594	204.4699363	325.0062916	375.5335347	411.0126147	424.999202	25.84554986	215.5077807
PI329707	Durra	1	10.5429348	29.17229472	63.70461511	148.593559	243.3138957	291.0360811	347.9140682	367.8931048	25.49890567	233.8012864
PI329719	Durra	1	10.90608547	32.14481188	70.2506315	185.5582308	288.0940114	355.9639544	401.0606992	407.1600444	25.22822836	248.0154046
PI329836	Caudatum	0	11.0206882	25.05554535	49.87083026	120.0833259	185.115171	256.3070642	300.2896901	354.7338871	24.81205466	247.6186308
PI329915	Durra	0	5.256716546	25.79346639	54.48279585	139.9886219	273.860782	303.417168	296.6993611	364.8407985	26.51365658	238.6517067
PI330070	Durra	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	NA	253.7440634
PI330095	Durra	0	10.01814787	32.48710883	78.11195669	191.017629	293.6216705	355.4241037	403.0903399	423.7191545	24.98099533	220.0223923
PI330098	Durra	1	12.18048518	29.52165362	69.81452818	172.6659185	265.6288897	293.1593239	367.0670283	418.4128091	26.59179631	232.9196574
PI330877	Durra	0	6.93357522	27.26832778	58.92192813	122.9571047	199.5294443	267.4112325	319.1996905	353.5161145	25.42281855	233.8209891
PI330886	Durra	1	10.36651493	31.31261469	58.41150273	139.6329043	211.3408775	263.9755515	278.7141206	337.916973	25.02526163	249.1336488
PI330887	Durra	1	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	NA	229.8049237
PI330897	Durra	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	NA	235.0589806
PI383856	Caudatum	0	8.46285846	29.48973705	67.41168078	180.7368991	265.1363755	324.7909974	364.0311121	395.973114	24.60700501	243.9060153
PI505705	Kafir	0	11.20100366	25.8864684	56.61492513	123.9387206	206.0056767	270.4122321	323.9480041	381.9535983	24.75458431	244.2125278
PI522160	NA	0	9.828868475	25.30483681	55.80321341	137.8627206	212.2616315	276.0617774	318.6924659	370.4948778	24.90222648	250.2750782
PI524948	Kafir	0	13.21301585	32.99874301	67.29237032	162.4388015	254.0284354	300.4025805	338.3030242	378.7450711	24.96778657	226.7143704
PI525059	Caudatum	0	12.06285344	25.04755263	61.51940563	158.7022988	242.1626176	316.0842382	368.6893419	381.3444355	23.86274984	228.4979572
PI562715	NA	1	9.575962759	23.65259275	51.34816046	113.3400631	182.9094495	236.4017423	287.4858035	332.5078358	24.51677032	262.2474585
PI562963	Caudatum	0	9.092490036	25.73427584	64.46613935	118.8776625	191.2069177	253.935028	303.5394387	338.8797148	24.78644334	230.5213019
PI563006	Guinea	0	6.95884111	24.43472133	52.56360128	132.677705	212.7508084	290.6287396	293.7489019	322.8702788	25.1790143	261.9987485
PI563023	Guinea	0	9.567236218	28.3443734	65.58293436	136.8518961	215.0389653	265.1662862	318.1698256	335.6487888	26.96090174	232.0042329
PI563509	Durra	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	NA	234.9212014
PI570712	Caudatum	0	8.587907149	26.56477213	62.59759569	143.9761804	220.9658626	256.1763969	300.0497214	355.1547792	24.23332777	248.7860851
PI570813	Durra	0	10.35654375	25.46346361	57.42663685	124.3543623	201.6033382	263.0243651	289.3490444	332.4355564	24.60694214	255.6356491
PI570916	Caudatum	0	12.11569739	26.96647644	53.67936935	133.452156	250.4188334	287.1895393	332.1630181	374.6762365	25.01262783	252.8880104
PI570928	Caudatum	1	12.60078529	24.31248411	60.34342975	150.23436	219.9938728	301.9358486	335.5110343	374.1296271	24.36581962	231.7652386
PI570969	Caudatum	0	11.32164262	24.93313672	62.00318091	119.3248326	187.9598957	222.9496916	282.0698226	299.7438523	24.23283798	226.3484579
PI571001	Caudatum	0	10.41098177	26.80249025	54.88696304	128.896648	194.7005842	240.1632519	303.3423252	343.6841169	24.07154646	233.228368
PI571020	Durra	1	6.24047396	28.72271742	62.36435919	143.4712038	189.806393	229.0690532	275.9819378	333.6670718	26.31680035	226.2027259
PI571022	Caudatum	0	6.926219245	23.78653098	47.76037979	132.3447588	213.6145205	268.9098961	276.8587489	350.641487	25.67330066	265.856227
PI586792	Caudatum	0	9.129832827	28.6737143	60.13283197	120.9718999	190.4479799	245.4424735	292.9172897	341.2467497	24.2775558	241.3242812
PI609612	NA	0	7.815380205	26.58310345	65.57580706	173.492741	284.5989231	312.7832665	337.173417	317.3514062	25.82483633	204.1034022
PI647743	Durra	0	11.16255922	28.31248415	62.04255046	150.7946087	245.1931572	297.2236038	333.2314127	379.5138139	24.74508934	235.2712616
PI647745	Durra	0	8.356302971	24.22085733	56.64197598	112.289158	179.1831756	222.7628383	263.6923324	261.3593688	24.58141399	228.5086257
PI651102	Kafir	NA	13.02000053	24.86489752	62.25062859	135.2555164	228.4466626	263.3484571	320.239736	361.0189566	23.19983257	243.0155673
PI651113	Guinea	0	11.34842555	28.27517664	57.88999817	141.4175509	237.082167	286.1050878	323.3340364	360.6503437	24.66347809	223.7763282
PI651116	Guinea	0	12.9995435	31.09077315	61.79648653	150.7012904	299.5396634	311.9606226	352.3092478	388.9996371	24.91419972	235.9017824
PI651124	Guinea	0	9.838585568	28.74017984	62.65255029	107.8946833	191.6671282	239.8983275	290.3910915	342.7140539	24.74627831	257.0003484
PI651131	Guinea	0	9.559439866	29.77348839	60.68685451	124.3437245	191.8807629	253.0747224	305.2812987	369.5377788	26.89545867	241.3076435
PI651141	Guinea	NA	11.02645251	31.64364687	64.47768561	134.5845788	228.0472071	281.1441287	332.3554897	376.2398937	25.1388018	248.9561085
PI651167	Guinea	0	12.97323548	25.9993134	61.19472094	141.2453435	229.650708	277.4065819	312.1923063	368.6579951	23.78375902	240.1819747
PI651168	Durra	1	8.68548581	30.3149182	57.67951186	138.6942124	211.8722031	272.9064966	333.0338012	330.4616357	24.9350898	218.5357122
PI651178	Guinea	0	13.38962248	31.86913899	63.51546454	164.5268692	276.2580729	326.0947386	376.2940345	406.2041144	24.13947147	214.1703179
PI651187	Guinea	0	10.86617534	27.34722845	58.32434392	122.0261985	203.3768862	248.2561017	286.7039243	342.4163415	24.48520576	234.7949666
PI660555	Kafir	0	11.14433093	28.1887529	59.27535748	146.5955227	227.6974937	264.7975561	328.5520023	363.5698761	24.91048278	248.5327352
PI660556	Guinea	NA	13.68881925	28.47690402	65.81423226	156.9287826	239.1159033	291.1281235	331.0193765	351.3389697	25.27263067	242.720933
PI660559	Guinea	0	11.81808697	32.39660129	64.46613935	118.4620207	178.6950082	236.5518117	287.3348626	344.199835	24.33224612	251.2118176
PI660560	Guinea	0	9.309805067	26.11071999	56.59324631	112.9719054	177.4727381	234.7534635	295.3854765	341.9233576	25.01262783	263.8291221
PI660562	Guinea	0	11.04041057	31.20112956	60.03748514	150.7369784	254.4403106	305.6589518	342.0700661	392.4552197	26.5755673	234.2642494
PI660564	Guinea	0	7.532866326	23.5885758	52.61932139	142.8547466	223.9902612	267.839619	278.1864279	358.0451359	25.40262335	265.9901944
PI660565	Guinea	NA	11.23333144	27.94704586	61.84083857	153.4074595	246.348807	291.1788157	333.7492816	361.1298546	24.46981044	241.0030984
PI660566	Guinea	0	6.757273544	32.84194154	65.38864642	157.4083917	265.8105729	293.2362221	328.3478617	372.7975607	25.57272676	234.7827112
PI660571	Caudatum	0	11.59684662	25.85608886	58.54963966	154.8577083	246.4798989	272.8483858	336.9805947	361.989796	25.35712623	246.102834
PI660580	Caudatum	0	6.396829893	29.28353292	56.70739365	134.9888941	217.2141164	267.5206974	304.8452532	374.9315215	25.72937048	276.1210263
PI660582	Caudatum	0	11.20856131	28.34515404	64.43440847	148.8656357	236.6452787	281.4311934	331.5763675	362.0324127	26.27929897	276.1925557
PI660585	Caudatum	0	12.09644732	29.53082844	63.56003507	149.3840176	240.1937644	300.1235787	347.9881939	397.1405408	23.92201931	230.2342964
PI660587	Caudatum	0	13.68915086	25.22158168	57.25090091	150.4934695	252.5041516	268.5025818	331.287095	346.4386754	24.84037863	223.9305915
PI660590	Guinea	0	11.8896629	29.81639938	59.594891	127.0262599	208.6027059	262.3268527	304.6562097	368.0338978	24.6244822	256.4012001
PI660592	Kafir	0	11.21541492	27.26832778	64.11688313	166.8073138	252.8209109	321.2992031	349.4190352	391.1661959	24.73164887	237.4191034
PI660595	Guinea	0	14.21929576	24.40175017	59.75157269	150.6443241	262.2150418	309.4773127	369.4062706	390.8276607	25.23037415	235.8539252
PI660597	Caudatum	NA	10.15076467	27.15642022	59.45087241	144.7873719	230.3269729	287.4814065	336.9469251	374.4194103	24.93178127	244.225594
PI660601	Guinea	0	11.71961687	27.77675886	61.37272631	160.6123065	259.1412329	308.5869284	351.3004137	380.7627277	23.12220528	231.0121916
PI660602	Guinea	0	12.0013951	29.58729159	59.64522321	132.6137377	227.2990998	286.347739	320.5083001	374.6656506	24.55902685	236.1196978
PI660606	Caudatum	0	10.27897962	25.02472857	59.97222209	137.2016398	218.7747613	285.7998314	303.6979102	357.6385927	23.26984745	241.8725875
PI660608	Kafir	0	11.05253267	28.83860289	68.34196351	184.5181016	296.5376714	346.8323222	391.8103756	422.6698571	25.12368974	233.3654842
PI660612	Durra	0	8.504439912	29.60078651	58.49315943	140.8078792	227.1773037	280.1235292	346.4515972	397.4397223	24.86812448	216.6913068
PI660615	Durra	0	10.36328777	27.77688945	50.3741064	125.1858542	183.1411515	233.7942599	276.0988041	307.1349548	24.39373518	214.2463027
PI660616	Durra	0	10.45363116	25.85072947	61.86768381	141.1580808	239.1873737	291.4437401	348.0143999	380.3110983	24.32826662	224.9260257
PI660618	Durra	1	9.271776065	27.81064247	58.13318614	140.2142704	202.6520559	237.1107904	286.8612243	313.9118187	24.95876243	213.7166436
PI660631	Guinea	0	8.21104108	27.89530058	60.80387512	105.3507331	124.0516208	144.5800284	172.2485391	189.5743395	25.84461546	253.049377
PI660640	Caudatum	0	7.458045337	26.45929057	56.19574031	116.8255691	143.710458	214.1854711	258.125078	286.2145093	25.49774293	231.8638845
PI660643	Caudatum	0	10.09803227	24.71126453	60.28743754	119.7880507	218.8751296	261.9255891	282.839983	344.4118491	24.64842852	217.3726108
PI660645	Caudatum	0	10.7300998	22.03364349	57.46084704	121.0867166	198.6026362	227.8644154	277.155385	314.229073	24.49467641	230.7886512
PI665071	Kafir	0	12.26735916	26.50194227	61.39030513	144.7181292	222.476379	273.8308353	321.0919739	366.406273	25.38173326	241.6367157
PI665072	Kafir	0	10.98500556	22.14955827	58.13588254	115.4791827	209.9940635	251.2029759	318.3505736	339.708428	24.36417577	231.6679107
PI665073	Kafir	1	10.76676951	24.77202454	58.41919419	103.8712413	197.5605911	230.156133	288.8633892	322.6588579	24.79091834	254.0000174
PI665074	Guinea	0	10.98191636	30.9497662	62.06030283	117.9660662	190.6009048	285.9616438	321.6564327	377.2140377	25.25283539	273.5042292
PI665075	Guinea	0	8.434950409	29.4093768	54.59047002	109.3491239	170.9386022	232.1766266	279.6965401	368.6077025	25.27263067	277.0319436
PI665076	Guinea	0	11.44373418	31.43761196	57.81731835	119.063464	187.9614171	242.9492406	297.9847841	343.3293861	24.56760303	248.3141208
PI665079	Guinea	0	10.37179753	31.76496617	60.00044863	135.5985658	207.4243074	246.1236903	294.8665378	347.5546632	25.15561866	270.4389435
PI665080	Guinea	0	11.8255625	31.08336362	59.44902853	138.5793857	242.8089761	292.3772381	332.6988423	377.651328	25.00891089	238.0086437
PI665081	Durra	0	11.54412396	27.91351316	58.09290415	152.0306351	247.0801803	294.5019472	340.9876093	402.4897286	26.59179631	213.4373401
PI665083	Guinea	0	11.42455557	26.46765941	62.26495622	137.9786138	194.2573355	270.1737663	308.0166091	356.9535059	24.83572729	240.3046933
PI665085	Guinea	0	10.51606013	30.28223691	60.38300923	102.1750151	162.9205238	213.0886815	273.6516928	278.2159516	23.90224525	233.9400513
PI665088	Guinea	0	11.75585459	26.05817368	59.30920981	123.5885613	197.3586876	269.1979868	325.9966135	380.8415794	24.87891822	236.3730855
PI665091	Durra	0	8.693632373	29.24277664	62.81202388	130.5951518	209.9769892	277.4032894	326.4266345	383.4528377	25.34986794	225.830114
PI665092	Kafir	1	9.235845534	29.14051368	59.11301513	148.6737317	228.1608977	284.3536745	332.0556944	351.2926756	24.44294923	261.532495
PI665093	Kafir	0	9.602210157	25.317586	54.3204535	123.1551293	201.106345	252.5712602	301.5169378	356.6559982	25.50476841	228.6849241
PI665097	Caudatum	0	11.58222843	32.16985524	68.69610076	153.4020468	250.0616891	305.8819372	334.3303818	392.2076733	23.89828607	240.6630289
PI665098	Caudatum	0	11.33215419	28.65088973	60.46692248	135.8388174	223.6414016	266.0126131	325.0261301	371.96333	23.74477502	248.545725
PI665103	Guinea	0	7.031306266	28.03461123	57.51263221	129.9233926	210.5596491	270.4197025	305.5362696	352.2381019	25.51870096	246.2834061
PI665104	Guinea	0	11.86603205	29.42913352	66.35546574	159.4760938	236.5903445	296.0524762	330.9553884	370.4948778	25.29593894	245.7084574
PI665107	Kafir	0	11.5668909	23.89022184	54.92162787	120.2336104	207.7143332	272.7356623	319.2979832	367.9744412	24.91733854	250.7204212
PI665108	Kafir	0	13.0054326	24.88955995	57.67114017	148.1090184	256.7951025	315.2302284	351.3302281	406.2041144	24.58239798	231.7849924
