Taxa	Race	FT	Biomass_BLUE	PH4wap_BLUE	PH6wap_BLUE	PH8wap_BLUE	PH10wap_BLUE	PH12wap_BLUE	PH14wap_BLUE	PH16wap_BLUE	SLA_BLUE	SD_BLUE	Starch_BLUE	SLA_NEW
NSL102183	Caudatum	0	10.22021715	28.01638255	60.79160716	120.0444293	181.4716324	217.7741878	278.6022093	304.0294874	227.9853153	62.4853576	23.57252582	229.2356572
NSL365694	Kafir	0	7.596844275	27.47367382	56.04168319	95.32599859	110.5370241	129.7287183	172.7113564	235.687045	236.6010823	56.77903109	27.0233787	236.9204513
NSL365712	Durra	0	11.03506988	26.74522717	52.85937241	142.4824727	265.0561049	278.2115043	314.2178217	377.527239	245.0162668	63.82641046	24.02834669	245.3601173
NSL50448	Guinea	0	11.82004126	29.86442198	57.25892522	128.6209868	199.6040942	277.1647653	313.174997	346.3013061	255.5053572	57.76126614	25.25167265	255.623825
NSL50449	Guinea	0	10.40812419	27.07613967	59.40179582	135.1494566	220.4261367	271.0012636	307.9264456	363.2601327	251.0989996	65.15550603	24.33534371	251.4564162
NSL50464	Guinea	1	11.42127892	27.30087847	68.67813177	171.2111722	292.506325	315.9747954	382.3956814	405.7263687	229.3293412	59.72670669	26.73943848	232.0669022
NSL50499	Guinea	0	6.695252754	28.22053394	62.73056105	150.0483053	247.9479363	279.30241	322.5123003	339.6555438	267.4921884	59.84077724	25.3512635	267.0495893
NSL50613	Guinea	0	10.52563464	32.68345229	60.6399577	131.335586	211.2083741	274.2322423	327.4994121	380.2456675	246.6040565	65.93009598	26.72222548	248.4891259
NSL50614	Guinea	0	14.62096016	30.96896012	58.94649967	133.2173043	223.6452017	274.7948876	317.5542073	337.2427547	249.2445353	60.23322313	26.36625975	250.4192074
NSL50646	Guinea	0	9.937484262	28.72899105	59.13814065	120.0442752	156.5407066	237.288638	295.8167033	344.4748365	272.9976563	60.1961094	25.20362133	273.0678968
NSL50649	Guinea	0	10.17980732	29.48694711	61.79657685	138.6416654	201.5817743	256.5735787	308.2165031	376.1235571	260.6181139	63.24168954	24.430184	260.3612951
NSL50663	Guinea	0	8.649580232	26.89063605	52.33981775	96.66072271	168.2150825	239.8476353	282.8436097	364.0254102	223.3232653	65.72232189	25.54330799	219.0315395
NSL50685	Guinea	0	6.297085383	26.45236974	62.08267255	107.8988934	171.9709515	220.3954799	275.2304116	315.0776311	255.79245	58.52001438	27.82214774	255.218535
NSL50716	Guinea	0	10.55220966	24.14000274	57.61993764	119.7404743	167.5701172	236.2043941	269.3689387	332.8922936	257.8012696	60.42814519	24.52905355	261.6307855
NSL50748	Guinea	0	13.02546775	30.11007678	64.28450251	147.1618287	237.1850717	287.2957487	331.8191012	375.5758342	242.1941783	64.62748809	24.63848425	242.3747206
NSL50843	Guinea	0	8.0026571	30.6101687	60.36569696	162.213859	254.9580493	287.9832411	345.3672244	349.2885266	229.1110619	67.48311116	24.52480591	232.1496811
NSL51356	Kafir	0	7.456181414	22.07785439	52.74966733	93.34722053	130.9611967	176.8841684	225.572787	248.1796103	291.9391719	56.22749404	24.84501684	295.5454059
NSL51902	Caudatum	0	7.513538157	28.22002949	67.10067616	143.9516459	235.7562421	276.6613166	304.9236852	374.9628273	231.5323317	60.41401918	24.31073668	233.8772585
NSL51959	Caudatum	0	12.32956897	31.57674003	60.03963391	133.4786884	225.6713519	268.76721	309.6512493	347.2113736	233.8333766	59.94766237	24.66110396	233.144642
NSL51963	Caudatum	0	11.33884212	28.21426031	60.43713992	149.3680099	240.6657677	291.5081044	327.2033797	373.4549408	237.9908884	62.21257102	24.66812943	237.9889969
NSL51969	Caudatum	0	12.0816133	29.38933641	58.65984043	131.6935763	208.2486829	265.2867631	320.7410753	364.2673588	259.2980664	56.358337	24.75588307	253.0910845
NSL51981	Guinea	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	225.6931382	58.88039296	NA	227.3495091
NSL52282	Kafir	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	225.3777044	63.68577113	NA	225.8969067
NSL54114	Guinea	0	10.76295616	25.317586	51.56063366	128.3506517	239.8005838	259.9591272	306.3345144	356.6559982	223.3915929	65.39922546	24.61891538	223.2663427
NSL54141	Guinea	1	11.88083216	30.60012462	64.65186094	156.4218543	247.9904254	312.1881656	364.0311121	389.4252737	222.7422118	63.49244909	24.26250661	223.404408
NSL54162	Guinea	0	11.12985575	27.53486422	58.91977097	145.8525618	234.782987	296.7037914	321.8447639	352.5460475	237.8289302	64.83375038	23.88956123	241.2597331
NSL54165	Guinea	0	7.089984084	28.57432449	59.08823381	132.3955296	212.0552345	283.2350911	318.1215121	365.579526	217.5435327	56.56109249	25.25022941	224.7401078
NSL54175	Guinea	0	10.08836154	28.02859363	62.47262029	151.9839037	246.0990376	285.2336726	339.442297	371.5839789	234.0523961	57.91238834	26.37871107	235.9325021
NSL54184	Guinea	0	10.57939135	26.64386346	57.80912522	144.2753943	209.06611	241.4669932	275.7507496	303.3739753	205.4928785	65.15023562	24.2492758	213.0570492
NSL54219	NA	0	11.75754002	29.62547508	64.02904822	134.2724373	218.2522233	249.7882775	291.6034051	361.7087505	256.9422438	57.0590271	24.64666123	251.8650684
NSL54221	Guinea	0	7.697576884	28.04546891	53.89349493	95.57075805	115.346685	158.6590054	157.5009644	184.492168	239.0031099	62.58588182	25.96032871	233.8065464
NSL54222	Guinea	0	11.58302386	25.41702224	60.5699231	147.972588	235.2303031	288.7014606	364.4160895	358.5232355	230.0642827	62.4940387	24.07552595	233.1780762
NSL54231	NA	0	13.24024088	27.30134988	58.48877127	150.8017678	250.8434322	299.4336364	331.2915861	371.8939175	230.027202	56.10827419	25.47429864	230.311842
NSL54236	Guinea	0	12.18428876	27.15642022	56.52871022	157.2566257	211.7908106	284.873924	311.1071956	394.6767911	256.546704	57.32884323	24.24278447	256.652833
NSL54297	Caudatum	0	11.3318519	29.54716839	59.69406038	101.6042703	128.4715715	181.5570755	213.3197712	259.5424227	263.6006737	55.02516156	24.75953207	263.6640141
NSL54318	Guinea	0	12.43393396	28.55984876	57.70411545	140.6884808	221.5889411	274.9926586	326.1681497	368.1075129	226.2597811	64.40136499	23.89340118	228.4771703
NSL54577	Durra	0	9.510998717	25.39735691	56.502456	123.620187	203.99615	271.2130133	317.5773769	335.746326	231.7312396	58.06486443	23.73738099	232.1259441
NSL54591	Durra	0	8.773164283	29.65495828	68.00588429	179.2985869	281.0902306	308.8176485	370.3023429	408.8154855	198.1375851	60.77345618	24.6740213	200.653423
NSL54779	Durra	1	9.493217654	29.84808203	67.45625131	164.3471221	283.2903417	318.593246	326.5280796	356.6257792	197.1942255	65.48675311	24.43545965	202.0019958
NSL55032	Durra	1	9.08334899	23.76263503	58.30619078	162.7539871	287.5974178	318.0501886	394.3311096	410.214234	211.9961331	57.50621209	24.88256722	211.6003258
